,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,A00900,A26270,A07180,TOTAL_DIST_POP,TOTAL_INC_PROPORTION,capgains,CAPGAINS_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,CDCTC,ADDITIONAL_CTC,CDCTC_PROPORTION,ADDITIONAL_CTC_PROPORTION,comb_passthrough,PASSTHROUGH_PROPORTION,EITC,EITC_PROPORTION,PREMIUM_TAX_CR,PREMIUM_TAX_CR_PROPORTION,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_TOTAL,CAP_GAINS_AT_DEATH_PER_FILER,NIT_TOTAL,NIT_PER_FILER,PASSTHROUGH_LIMIT_TOTAL,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_TOTAL,1031_LIMIT_PER_FILER,CARRIED_INTEREST_TOTAL,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_TOTAL,ADDITIONAL_CTC_PER_FILER,EITC_TOTAL,EITC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,PREM_TAX_CREDIT_TOTAL,PREM_TAX_CREDIT_PER_FILER,NET_TAX_CHANGE_PER_FILER,avg_tax_paid,pct_change
20,AL,1,9,1820,735682,1937831,69141,443514,171523,99778,69615,717130,48,300380,0.0008778001411656528,443514,0.0007109227527882924,512655,0.0006936030060413741,7506,94549,0.002004701674430679,0.002704112147223318,786745,0.0014402103082504778,218251,0.003456333257856546,141538,0.0033583258568360146,0.0,0.0,13525258.617806794,45.027160988770206,24627596.271083172,81.98813593143076,29092248.22665965,96.85148221139774,497645.9269518047,1.6567212429316356,497645.9269518047,1.6567212429316356,-8112336.441669954,-27.006912716126088,-51844998.86784819,-172.5980387104607,-18844195.739648383,-62.734522070871506,-115526409.4751589,-384.6008704812534,-419.7601223612497,6.67679605832612,-62.86849541222681
30,AL,2,9,1140,396217,1117804,56358,206409,109170,60605,38183,421980,12,280070,0.0005063436950877199,206409,0.00033085957710529695,262767,0.00035551390523543854,8153,94555,0.0021775023649924495,0.0027042837479053275,460163,0.0008423714114172504,206028,0.003262763645754972,100821,0.002392218140796562,0.0,0.0,6932521.152091051,24.752815910633238,14404551.135234984,51.431967491109305,17015902.510628458,60.75589142224607,231601.70397370786,0.8269422072114395,231601.70397370786,0.8269422072114395,-8112851.243715983,-28.967226920826874,-48941454.68632458,-174.74722278831928,-20468522.230929025,-73.08359421190782,-82292304.04340173,-293.8276289620514,-432.03111364469385,5.4013603741921665,-79.98561171903086
40,AL,3,9,1170,438141,1165280,45797,238923,119751,58326,44356,397143,22,284970,0.0005278494092093232,238923,0.0003829773059349585,284720,0.00038521549166613034,8763,89979,0.0023404210995251855,0.0025734096277592244,441499,0.0008082052137379682,188799,0.0029899164849190064,106162,0.002518946075353792,0.0,0.0,7511702.087489542,26.3596241270644,13820309.154919257,48.49741781562711,16325745.317506958,57.28934736115015,268084.11415447097,0.9407450403708144,268084.11415447097,0.9407450403708144,-7720228.883277673,-27.09137412105721,-44848747.2737851,-157.38059190014772,-21999958.335536744,-77.20096268216565,-86651744.99217044,-304.0732182060232,-431.7182675248105,5.428364389233955,-79.5300824648093
50,AL,4,9,1220,416308,1390523,51999,391385,168660,68989,42645,564576,26,270680,0.0006298801524457432,391385,0.000627363514116907,443384,0.0005998819385954465,5541,88680,0.001479889685321129,0.0025362580801041134,607221,0.001111574835030618,166813,0.0026417350653276457,124980,0.002965447905066944,0.0,0.0,11697697.802611208,43.215966464501285,19007929.679023568,70.22288192339134,22453811.667618483,82.95334589780731,439154.45988183486,1.6224119250843612,439154.45988183486,1.6224119250843612,-7608774.240312341,-28.109850156318682,-39626025.97991469,-146.39436227247927,-13910963.042018611,-51.392651995044375,-102011407.93430288,-376.87087311328094,-403.1307194012546,5.435111570858578,-74.171562836487
60,AL,5,9,1970,814443,1923846,63866,375091,156345,111191,59121,722401,43,322510,0.0008714652053667097,375091,0.0006012453412206005,438957,0.0005938923734732002,8199,76458,0.002189788040055574,0.0021867074908502515,781522,0.001430649118233392,146407,0.0023185753251210913,135026,0.003203813160742272,0.0,0.0,11580901.282727404,35.90865797255094,24464099.921791006,75.85532207308613,28899112.18831452,89.60687168867483,420871.7388544204,1.3049881828607497,420871.7388544204,1.3049881828607497,-6560122.472550754,-20.340834307620707,-34778629.87681637,-107.83736900194216,-20584007.576522395,-63.82440103104523,-110211172.72953416,-341.7294742164093,-329.75125045698405,7.857083501286782,-41.96865801451385
70,AL,6,9,4670,2234543,5558409,284534,1317243,538627,261448,149581,1903640,170,312440,0.0025178522816780386,1317243,0.0021114508666042306,1601777,0.002167144263116392,10916,65643,0.0029154441084579394,0.0018773972615276763,2053221,0.0037586130821503213,115197,0.0018243179747414698,110991,0.0026335255915449288,0.0,0.0,42259313.13076965,135.25577112651916,64272283.704770505,205.7108043296969,75923984.25943649,243.00340628420332,1478015.6066229613,4.730558208369483,1478015.6066229613,4.730558208369483,-5632191.784583029,-18.026474793826107,-27364769.621122047,-87.58407893074525,-27405174.61950463,-87.71339975516781,-90593280.34914555,-289.95416831758274,110.15297635983649,12.46416912047113,8.837570743397682
80,AL,7,9,670,233166,794089,45068,218707,72088,47770,19556,284229,11,259380,0.00035970703136552776,218707,0.00035057243400223915,263775,0.0003568776914661194,6764,109344,0.00180652839406463,0.0031272508289456945,303785,0.0005561068560866246,278988,0.004418195119119189,78114,0.0018534405317362718,0.0,0.0,6959114.983589329,26.829805627223877,9509427.23908128,36.6621452659468,11233358.492949815,43.30849908608919,245400.7038015674,0.9461049572116871,245400.7038015674,0.9461049572116871,-9381752.486837083,-36.16991474607558,-66272926.78678784,-255.50515377742246,-16981366.904207524,-65.46906817876291,-63758354.29172775,-245.81060332997052,-494.2620801385482,3.938715398257383,-125.48814274756333
90,AK,0,9,2500,872573,2364302,97911,462994,109244,102829,97990,807977,77,348970,0.0010709832949097394,462994,0.0007421478668192271,560905,0.0007588834481349776,8024,70000,0.002143049058837166,0.0020020079567804236,905967,0.001658457330310025,96852,0.0015337972732767419,97613,0.0023161007069715123,0.0,0.0,14798227.238632062,42.40544241233362,28359620.348301433,81.26664282976024,33500838.072262507,95.99919211468753,519503.506773459,1.4886766964881193,519503.506773459,1.4886766964881193,-6006023.870341271,-17.210716882085197,-23006959.099151127,-65.92818608806238,-20144661.153069362,-57.72605425414609,-79673864.31982003,-228.3115004723043,-146.52782694684032,9.095039688225349,-16.110740796055975
110,AZ,1,9,1320,445502,1396948,59380,434553,87042,47362,35519,299519,28,297640,0.0006327905537691762,434553,0.0006965588797476762,493933,0.0006682728415465255,4853,98116,0.0012961387191596171,0.0028061287526781145,335038,0.0006133183957389289,162105,0.002567176795363299,74237,0.0017614494809445888,0.0,0.0,13031320.410157248,43.78215431446461,10487744.567135686,35.23634110716196,12389031.593926363,41.6242158107995,487591.21582337335,1.6381911565091163,487591.21582337335,1.6381911565091163,-8418386.258034343,-28.283786648415344,-38507651.930449486,-129.37660237350318,-12183703.960100401,-40.93436352674507,-60593862.144493856,-203.58104469995249,-278.25670370317175,6.2569379115710255,-44.471706070246995
120,AZ,2,9,2330,837634,2350804,154445,673009,201345,73504,77017,546331,64,332810,0.0010648689607364013,673009,0.001078787616470497,827454,0.0011195142576605303,6472,77457,0.0017285410654030583,0.002215279004404875,623348,0.0011410968169194833,140285,0.002221624235757937,56410,0.0013384614844361203,0.0,0.0,21830528.02438034,65.5945675441854,19512755.569323167,58.63031630456767,23050155.70177356,69.25920405568812,755151.3315293478,2.2690163502579486,755151.3315293478,2.2690163502579486,-6645837.013214625,-19.96886215322444,-33324363.53636906,-100.13029517252805,-16248286.014788749,-48.821507811630504,-46043075.06460254,-138.34642908747495,-109.24497361990086,7.61892671494246,-14.338630322515959
